FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
0,Nation,United States,Ages 14_17,Total,2011,Number,"16,871,331"
0,Nation,United States,Ages 14_17,Total,2012,Number,"16,721,002"
0,Nation,United States,Ages 14_17,Total,2013,Number,"16,652,653"
0,Nation,United States,Ages 14_17,Total,2014,Number,"16,747,207"
0,Nation,United States,Ages 14_17,Total,2015,Number,"16,807,596"
0,Nation,United States,Ages 14_17,Total,2016,Number,"16,775,196"
0,Nation,United States,Ages 14_17,Total,2017,Number,"16,750,439"
0,Nation,United States,Ages 14_17,Total,2018,Number,"16,673,645"
0,Nation,United States,Ages 14_17,Total,2019,Number,"16,643,002"
0,Nation,United States,Ages 14_17,Total,2020,Number,"16,715,045"
0,Nation,United States,Ages 14_17,Total,2021,Number,"16,769,986"
0,Nation,United States,Ages 3_5,Female,1995,Number,"5,951,023"
0,Nation,United States,Ages 3_5,Female,1996,Number,"5,926,037"
0,Nation,United States,Ages 3_5,Female,1997,Number,"5,865,201"
0,Nation,United States,Ages 3_5,Female,1998,Number,"5,795,021"
0,Nation,United States,Ages 3_5,Female,1999,Number,"5,743,135"
0,Nation,United States,Ages 3_5,Female,2000,Number,"5,709,134"
0,Nation,United States,Ages 3_5,Female,2001,Number,"5,637,966"
0,Nation,United States,Ages 3_5,Female,2002,Number,"5,597,727"
0,Nation,United States,Ages 3_5,Female,2003,Number,"5,618,346"
0,Nation,United States,Ages 3_5,Female,2004,Number,"5,726,724"
0,Nation,United States,Ages 3_5,Female,2005,Number,"5,803,775"
0,Nation,United States,Ages 3_5,Female,2006,Number,"5,865,092"
0,Nation,United States,Ages 3_5,Female,2007,Number,"5,867,690"
0,Nation,United States,Ages 3_5,Female,2008,Number,"5,895,947"
0,Nation,United States,Ages 3_5,Female,2009,Number,"5,931,627"
0,Nation,United States,Ages 3_5,Female,2010,Number,"5,991,949"
0,Nation,United States,Ages 3_5,Female,2011,Number,"6,022,623"
0,Nation,United States,Ages 3_5,Female,2012,Number,"5,985,364"
0,Nation,United States,Ages 3_5,Female,2013,Number,"5,930,618"
0,Nation,United States,Ages 3_5,Female,2014,Number,"5,882,242"
0,Nation,United States,Ages 3_5,Female,2015,Number,"5,877,498"
0,Nation,United States,Ages 3_5,Female,2016,Number,"5,872,578"
0,Nation,United States,Ages 3_5,Female,2017,Number,"5,872,396"
0,Nation,United States,Ages 3_5,Female,2018,Number,"5,898,193"
0,Nation,United States,Ages 3_5,Female,2019,Number,"5,907,186"
0,Nation,United States,Ages 3_5,Female,2020,Number,"5,863,501"
0,Nation,United States,Ages 3_5,Female,2021,Number,"5,766,748"
0,Nation,United States,Ages 3_5,Male,1995,Number,"6,236,593"
0,Nation,United States,Ages 3_5,Male,1996,Number,"6,214,875"
0,Nation,United States,Ages 3_5,Male,1997,Number,"6,153,685"
0,Nation,United States,Ages 3_5,Male,1998,Number,"6,085,295"
0,Nation,United States,Ages 3_5,Male,1999,Number,"6,024,547"
0,Nation,United States,Ages 3_5,Male,2000,Number,"5,982,202"
0,Nation,United States,Ages 3_5,Male,2001,Number,"5,902,123"
0,Nation,United States,Ages 3_5,Male,2002,Number,"5,856,403"
0,Nation,United States,Ages 3_5,Male,2003,Number,"5,882,822"
0,Nation,United States,Ages 3_5,Male,2004,Number,"5,987,712"
0,Nation,United States,Ages 3_5,Male,2005,Number,"6,062,696"
0,Nation,United States,Ages 3_5,Male,2006,Number,"6,122,392"
0,Nation,United States,Ages 3_5,Male,2007,Number,"6,128,070"
0,Nation,United States,Ages 3_5,Male,2008,Number,"6,161,840"
0,Nation,United States,Ages 3_5,Male,2009,Number,"6,197,770"
0,Nation,United States,Ages 3_5,Male,2010,Number,"6,262,084"
0,Nation,United States,Ages 3_5,Male,2011,Number,"6,289,828"
0,Nation,United States,Ages 3_5,Male,2012,Number,"6,242,841"
0,Nation,United States,Ages 3_5,Male,2013,Number,"6,180,505"
0,Nation,United States,Ages 3_5,Male,2014,Number,"6,139,140"
0,Nation,United States,Ages 3_5,Male,2015,Number,"6,142,053"
0,Nation,United States,Ages 3_5,Male,2016,Number,"6,142,670"
0,Nation,United States,Ages 3_5,Male,2017,Number,"6,144,291"
0,Nation,United States,Ages 3_5,Male,2018,Number,"6,171,556"
0,Nation,United States,Ages 3_5,Male,2019,Number,"6,180,078"
0,Nation,United States,Ages 3_5,Male,2020,Number,"6,130,208"
0,Nation,United States,Ages 3_5,Male,2021,Number,"6,026,734"
0,Nation,United States,Ages 3_5,Total,1995,Number,"12,187,616"
0,Nation,United States,Ages 3_5,Total,1996,Number,"12,140,912"
0,Nation,United States,Ages 3_5,Total,1997,Number,"12,018,886"
0,Nation,United States,Ages 3_5,Total,1998,Number,"11,880,316"
0,Nation,United States,Ages 3_5,Total,1999,Number,"11,767,682"
0,Nation,United States,Ages 3_5,Total,2000,Number,"11,691,336"
0,Nation,United States,Ages 3_5,Total,2001,Number,"11,540,089"
0,Nation,United States,Ages 3_5,Total,2002,Number,"11,454,130"
0,Nation,United States,Ages 3_5,Total,2003,Number,"11,501,168"
0,Nation,United States,Ages 3_5,Total,2004,Number,"11,714,436"
0,Nation,United States,Ages 3_5,Total,2005,Number,"11,866,471"
0,Nation,United States,Ages 3_5,Total,2006,Number,"11,987,484"
0,Nation,United States,Ages 3_5,Total,2007,Number,"11,995,760"
0,Nation,United States,Ages 3_5,Total,2008,Number,"12,057,787"
0,Nation,United States,Ages 3_5,Total,2009,Number,"12,129,397"
0,Nation,United States,Ages 3_5,Total,2010,Number,"12,254,033"
0,Nation,United States,Ages 3_5,Total,2011,Number,"12,312,451"
0,Nation,United States,Ages 3_5,Total,2012,Number,"12,228,205"
0,Nation,United States,Ages 3_5,Total,2013,Number,"12,111,123"
0,Nation,United States,Ages 3_5,Total,2014,Number,"12,021,382"
0,Nation,United States,Ages 3_5,Total,2015,Number,"12,019,551"
0,Nation,United States,Ages 3_5,Total,2016,Number,"12,015,248"
0,Nation,United States,Ages 3_5,Total,2017,Number,"12,016,687"
0,Nation,United States,Ages 3_5,Total,2018,Number,"12,069,749"
0,Nation,United States,Ages 3_5,Total,2019,Number,"12,087,264"
0,Nation,United States,Ages 3_5,Total,2020,Number,"11,993,709"
0,Nation,United States,Ages 3_5,Total,2021,Number,"11,793,482"
0,Nation,United States,Ages 6_10,Female,1995,Number,"9,395,267"
0,Nation,United States,Ages 6_10,Female,1996,Number,"9,597,187"
0,Nation,United States,Ages 6_10,Female,1997,Number,"9,811,037"
0,Nation,United States,Ages 6_10,Female,1998,Number,"10,005,920"
0,Nation,United States,Ages 6_10,Female,1999,Number,"10,124,333"
0,Nation,United States,Ages 6_10,Female,2000,Number,"10,153,707"
0,Nation,United States,Ages 6_10,Female,2001,Number,"10,022,097"
0,Nation,United States,Ages 6_10,Female,2002,Number,"9,895,986"
0,Nation,United States,Ages 6_10,Female,2003,Number,"9,763,213"
0,Nation,United States,Ages 6_10,Female,2004,Number,"9,657,563"
0,Nation,United States,Ages 6_10,Female,2005,Number,"9,596,935"
0,Nation,United States,Ages 6_10,Female,2006,Number,"9,584,624"
0,Nation,United States,Ages 6_10,Female,2007,Number,"9,678,622"
0,Nation,United States,Ages 6_10,Female,2008,Number,"9,779,796"
0,Nation,United States,Ages 6_10,Female,2009,Number,"9,902,760"
0,Nation,United States,Ages 6_10,Female,2010,Number,"10,008,012"
0,Nation,United States,Ages 6_10,Female,2011,Number,"9,978,168"
0,Nation,United States,Ages 6_10,Female,2012,Number,"9,979,262"
0,Nation,United States,Ages 6_10,Female,2013,Number,"10,046,149"
0,Nation,United States,Ages 6_10,Female,2014,Number,"10,099,537"
0,Nation,United States,Ages 6_10,Female,2015,Number,"10,078,485"
0,Nation,United States,Ages 6_10,Female,2016,Number,"10,063,502"
0,Nation,United States,Ages 6_10,Female,2017,Number,"10,040,463"
0,Nation,United States,Ages 6_10,Female,2018,Number,"9,975,756"
0,Nation,United States,Ages 6_10,Female,2019,Number,"9,909,225"
0,Nation,United States,Ages 6_10,Female,2020,Number,"9,903,978"
0,Nation,United States,Ages 6_10,Female,2021,Number,"9,891,935"
0,Nation,United States,Ages 6_10,Male,1995,Number,"9,862,142"
0,Nation,United States,Ages 6_10,Male,1996,Number,"10,075,593"
0,Nation,United States,Ages 6_10,Male,1997,Number,"10,298,302"
0,Nation,United States,Ages 6_10,Male,1998,Number,"10,499,927"
0,Nation,United States,Ages 6_10,Male,1999,Number,"10,631,471"
0,Nation,United States,Ages 6_10,Male,2000,Number,"10,660,851"
